Amount,Description,Place
"$5,000 monthly","4 room apartment in a new building on Teryan Street, 200 sq.m., second to last floor, 3+ bathrooms","Kentron, 4 rm., 200 sq.m., 4/5 floor"
"$2,000 monthly","4 room apartment in a new building on Verin Antarayin Street, 160 sq.m., 4/8 floor, 2 bathrooms","Kentron, 4 rm., 160 sq.m., 4/8 floor"
"$2,800 monthly","6 room apartment on Yeznik Koghbatsi Street, 205 sq.m., second to last floor, 3+ bathrooms","Kentron, 6 rm., 205 sq.m., 3/4 floor"
"$3,000 monthly","4 room apartment in a new building on Northern Avenue, 200 sq.m., second to last floor, 2 bathrooms","Kentron, 4 rm., 200 sq.m., 7/8 floor"
"$3,500 monthly","7 room apartment in a new building on Hanrapetutyan Street, 260 sq.m., 4/8 floor, 3+ bathrooms","Kentron, 7 rm., 260 sq.m., 4/8 floor"
"$1,100 monthly","4 room apartment in a new building on Anastas Mikoyan Street, 110 sq.m., 2 bathrooms, high ceilings","Davtashen, 4 rm., 110 sq.m., 15/15 floor"
"$2,500 monthly","5 room apartment in a new building, Բյուզանդի փողոց, 160 sq.m., 3/8 floor, 2 bathrooms","Kentron, 5 rm., 160 sq.m., 3/8 floor"
"$4,000 monthly","3 room apartment in a new building, Azatutyan Avenue, 110 sq.m., 2 bathrooms, high ceilings","Arabkir, 3 rm., 110 sq.m., 4/4 floor"
"200,000 ֏ monthly","3 room apartment on Rubinyants Street, 80 sq.m., 3/5 floor, stone building","Kanaker-Zeytun, 3 rm., 80 sq.m., 3/5 floor"
$900 monthly,"2 room apartment in a new building on Arghutyan Street, 60 sq.m., second to last floor","Arabkir, 2 rm., 60 sq.m., 13/14 floor"
"$3,300 monthly","4 room apartment in a new building, Փավստոս Բուզանդի փողոց, 200 sq.m., 3+ bathrooms, high ceilings","Kentron, 4 rm., 200 sq.m., 3/14 floor"
"$3,000 monthly","Spacious 4 room apartment in a new building, Փավստոս Բուզանդի փողոց, 210 sq.m., 2 bathrooms","Kentron, 4 rm., 210 sq.m., 8/13 floor"
"$2,500 monthly","Spacious 2 room apartment in a new building on Northern Avenue, 114 sq.m., second to last floor","Kentron, 2 rm., 114 sq.m., 8/9 floor"
"270,000 ֏ monthly","2 room apartment on Atenk Street, 70 sq.m., 3/5 floor, high ceilings, major renovation","Kentron, 2 rm., 70 sq.m., 3/5 floor"
"$3,000 monthly","3 room apartment in a new building on Yekmalyan Street, 141 sq.m., 13/18 floor, 3+ bathrooms","Kentron, 3 rm., 141 sq.m., 13/18 floor"
"380,000 ֏ monthly","2 room apartment in a new building on Karapet Ulnetsi Street, 67 sq.m., 3/20 floor, high ceilings","Kanaker-Zeytun, 2 rm., 67 sq.m., 3/20 floor"
"$2,500 monthly","4 room apartment in a new building, Tsitsernakaberd Highway, 190 sq.m., 8/18 floor, 2 bathrooms","Kentron, 4 rm., 190 sq.m., 8/18 floor"
"$5,000 monthly","Spacious 5 room apartment in a new building on Vardanants Street, 300 sq.m., second to last floor","Kentron, 5 rm., 300 sq.m., 21/22 floor"
"$3,700 monthly","4 room apartment in a new building on Yekmalyan street, 145 sq.m., 15/18 floor, 2 bathrooms","Kentron, 4 rm., 145 sq.m., 15/18 floor"
"$5,000 monthly","5 room apartment in a new building, Vardanants Street, 250 sq.m., 21/24 floor, 3+ bathrooms","Kentron, 5 rm., 250 sq.m., 21/24 floor"
"$5,500 monthly","5 room apartment in a new building on Pavstos Buzand Street, 231 sq.m., 9/15 floor, 3+ bathrooms","Kentron, 5 rm., 231 sq.m., 9/15 floor"
"200,000 ֏ monthly","2 room apartment on Komitas Avenue, 60 sq.m., 2/5 floor, stone building","Arabkir, 2 rm., 60 sq.m., 2/5 floor"
"$1,700 monthly","3 room apartment in a new building on Amiryan Street, 80 sq.m., 8/12 floor, high ceilings","Kentron, 3 rm., 80 sq.m., 8/12 floor"
"350,000 ֏ monthly","2 room apartment in a new building on Grigor Hasratyan Street, 60 sq.m., 10/14 floor, high ceilings","Ajapnyak, 2 rm., 60 sq.m., 10/14 floor"
"170,000 ֏ monthly","3 room apartment on Ara Harutyunyan Street, 50 sq.m., 1/2 floor, major renovation, stone building","Nork-Marash, 3 rm., 50 sq.m., 1/2 floor"
"400,000 ֏ monthly","3 room apartment in a new building on Tsitsernakaberd Highway, 115 sq.m., 10/22 floor, high ceilings","Kentron, 3 rm., 115 sq.m., 10/22 floor"
"240,000 ֏ monthly","3 room apartment on Hrachya Kochar Street, 80 sq.m., second to last floor, high ceilings","Arabkir, 3 rm., 80 sq.m., 8/9 floor"
"$1,000 monthly","2 room apartment, Saryan Street, 55 sq.m., second to last floor, designer renovation","Kentron, 2 rm., 55 sq.m., 6/7 floor"
"120,000 ֏ monthly","3 room apartment in a new building in Gyumri, 79 sq.m., designer renovation, stone building","Gyumri, 3 rm., 79 sq.m., 4/4 floor"
"90,000 ֏ monthly","1 room apartment on Chukhajyan Street, 37 sq.m., 2/5 floor, cosmetic renovation, stone building","Vanadzor, 1 rm., 37 sq.m., 2/5 floor"
"$1,100 monthly","2 room apartment in a new building, Paronyan Street, 80 sq.m., 11/14 floor, high ceilings","Kentron, 2 rm., 80 sq.m., 11/14 floor"
"60,000 ֏ monthly","4 room apartment in Kuchak District, 95 sq.m., high ceilings","Avan, 4 rm., 95 sq.m., 9/9 floor"
"280,000 ֏ monthly","2 room apartment on Rubinyants Street, 54 sq.m., 1/4 floor, designer renovation","Kanaker-Zeytun, 2 rm., 54 sq.m., 1/4 floor"
"370,000 ֏ monthly","2 room apartment in a new building, Արգիշտի փողոց, 65 sq.m., 9/14 floor, high ceilings","Kentron, 2 rm., 65 sq.m., 9/14 floor"
"140,000 ֏ monthly","1 room apartment in a new building on Acharyan Street, 38 sq.m., second to last floor","Avan, 1 rm., 38 sq.m., 2/3 floor"
"170,000 ֏ monthly","3 room apartment, Hrachya Acharyan Street 1st Deadlock, 70 sq.m., 5/9 floor","Avan, 3 rm., 70 sq.m., 5/9 floor"
"$5,000 monthly","4 room apartment in a new building on Pavstos Buzand Street, 130 sq.m., 3/13 floor, 2 bathrooms","Kentron, 4 rm., 130 sq.m., 3/13 floor"
"$3,700 monthly","3 room apartment in a new building on Teryan Street, 95 sq.m., 12/22 floor, 3+ bathrooms","Kentron, 3 rm., 95 sq.m., 12/22 floor"
"450,000 ֏ monthly","3 room apartment in a new building on Vardanants Street, 100 sq.m., 10/14 floor, high ceilings","Kentron, 3 rm., 100 sq.m., 10/14 floor"
"$3,000 monthly","3 room apartment in a new building on Pavstos Buzand Street, 100 sq.m., 3/13 floor, 2 bathrooms","Kentron, 3 rm., 100 sq.m., 3/13 floor"
"$1,000 monthly","1 room apartment in a new building, Pavstos Buzand Street, 35 sq.m., 13/17 floor, high ceilings","Kentron, 1 rm., 35 sq.m., 13/17 floor"
"250,000 ֏ monthly","2 room apartment, Թեվոսյան փողոց, 67 sq.m., 4/9 floor, major renovation","Nor Nork, 2 rm., 67 sq.m., 4/9 floor"
"400,000 ֏ monthly","2 room apartment in a new building on Arshakunyats Avenue, 52 sq.m., 13/18 floor, high ceilings","Kentron, 2 rm., 52 sq.m., 13/18 floor"
"$1,500 monthly","3 room apartment in a new building, Պարոնյան փողոց, 110 sq.m., 8/13 floor, 2 bathrooms","Kentron, 3 rm., 110 sq.m., 8/13 floor"
"300,000 ֏ monthly","3 room apartment on Paronyan Street, 95 sq.m., 2/4 floor, 2 bathrooms, high ceilings","Kentron, 3 rm., 95 sq.m., 2/4 floor"
"130,000 ֏ monthly","2 room apartment in a new building on Khachik Muradyan Street, 54 sq.m., 2/8 floor, major renovation","Tsakhkadzor, 2 rm., 54 sq.m., 2/8 floor"
"350,000 ֏ monthly","2 room apartment on Charents Street, 53 sq.m., second to last floor, high ceilings","Kentron, 2 rm., 53 sq.m., 3/4 floor"
"200,000 ֏ monthly","3 room apartment on Vagharshyan Street, 80 sq.m., second to last floor, multiple balconies","Arabkir, 3 rm., 80 sq.m., 4/5 floor"
"$2,200 monthly","3 room apartment in a new building on Northern Avenue, 130 sq.m., 4/9 floor, 2 bathrooms","Kentron, 3 rm., 130 sq.m., 4/9 floor"
"100,000 ֏ monthly","1 room apartment in a new building, Մուշ 2-2 թաղամաս, 42 sq.m., 2/4 floor, major renovation","Gyumri, 1 rm., 42 sq.m., 2/4 floor"
"$2,800 monthly","Spacious 5 room apartment in a new building on Teryan Street, 265 sq.m., 10/12 floor, 3+ bathrooms","Kentron, 5 rm., 265 sq.m., 10/12 floor"
"160,000 ֏ monthly","1 room apartment in a new building on Moldovakan Street, 45 sq.m., euro renovation","Nor Nork, 1 rm., 45 sq.m., 4/4 floor"
"$2,000 monthly","3 room apartment in a new building on Pavstos Buzand Street, 98 sq.m., 4/14 floor, high ceilings","Kentron, 3 rm., 98 sq.m., 4/14 floor"
"$1,500 monthly","2 room apartment in a new building on Vazgen Sargsyan Street, 62 sq.m., 7/10 floor, major renovation","Kentron, 2 rm., 62 sq.m., 7/10 floor"
"400,000 ֏ monthly","3 room apartment in a new building on Adonts Street, 80 sq.m., 8/14 floor, 2 bathrooms","Arabkir, 3 rm., 80 sq.m., 8/14 floor"
"280,000 ֏ monthly","3 room apartment in a new building, Մոնթե Մելքոնյան փողոց, 111 sq.m., 8/16 floor, 2 bathrooms","Ajapnyak, 3 rm., 111 sq.m., 8/16 floor"
"$3,000 monthly","3 room apartment in a new building, Aram Street Lane, 130 sq.m., 8/13 floor, 2 bathrooms","Kentron, 3 rm., 130 sq.m., 8/13 floor"
"350,000 ֏ monthly","2 room apartment on Teryan Street, 40 sq.m., designer renovation, stone building","Kentron, 2 rm., 40 sq.m., 5/5 floor"
"$1,200 monthly","2 room apartment in a new building on Verin Antarayin Street, 52 sq.m., 2/5 floor, high ceilings","Kentron, 2 rm., 52 sq.m., 2/5 floor"
"300,000 ֏ monthly","3 room apartment in a new building on Griboyedov Street, 100 sq.m., 3/16 floor, euro renovation","Arabkir, 3 rm., 100 sq.m., 3/16 floor"
"270,000 ֏ monthly","2 room apartment in a new building on Davit Anhaght Street, 55 sq.m., 10/14 floor","Kanaker-Zeytun, 2 rm., 55 sq.m., 10/14 floor"
"320,000 ֏ monthly","3 room apartment in a new building, Մոնթե Մելքոնյան փողոց, 80 sq.m., 4/15 floor, designer renovation","Ajapnyak, 3 rm., 80 sq.m., 4/15 floor"
"$1,700 monthly","3 room apartment in a new building on Amiryan Street, 90 sq.m., 8/11 floor, high ceilings","Kentron, 3 rm., 90 sq.m., 8/11 floor"
"$1,000 monthly","2 room apartment in a new building, Amiryan Street, 55 sq.m., 6/9 floor, high ceilings","Kentron, 2 rm., 55 sq.m., 6/9 floor"
"$2,500 monthly","3 room apartment in a new building, Արաբկիր վարչական շրջան, 120 sq.m., 8/17 floor, 2 bathrooms","Arabkir, 3 rm., 120 sq.m., 8/17 floor"
$900 monthly,"2 room apartment in a new building, Արշակունյաց պողոտա, 60 sq.m., 3/18 floor, high ceilings","Kentron, 2 rm., 60 sq.m., 3/18 floor"
"$2,500 monthly","Spacious 4 room apartment in a new building on Teryan Street, 205 sq.m., 7/12 floor, 3+ bathrooms","Kentron, 4 rm., 205 sq.m., 7/12 floor"
"300,000 ֏ monthly","2 room apartment in a new building on Anastas Mikoyan Street, 73 sq.m., 8/12 floor, high ceilings","Davtashen, 2 rm., 73 sq.m., 8/12 floor"
"300,000 ֏ monthly","3 room apartment in a new building on Sasna Tsrer Street, 90 sq.m., 16/19 floor, 2 bathrooms","Davtashen, 3 rm., 90 sq.m., 16/19 floor"
"300,000 ֏ monthly","2 room apartment on Mashtots Avenue, 40 sq.m., second to last floor, euro renovation, stone building","Kentron, 2 rm., 40 sq.m., 4/5 floor"
"230,000 ֏ monthly","3 room apartment on Mantashyan Street, 70 sq.m., second to last floor, major renovation","Shengavit, 3 rm., 70 sq.m., 4/5 floor"
"300,000 ֏ monthly","2 room apartment in a new building on Tsitsernakaberd Highway, 70 sq.m., 9/12 floor, high ceilings","Kentron, 2 rm., 70 sq.m., 9/12 floor"
"90,000 ֏ monthly","4 room apartment in a new building in Stepanavan, 100 sq.m., second to last floor, high ceilings","Stepanavan, 4 rm., 100 sq.m., 3/4 floor"
"$1,300 monthly","2 room apartment in a new building on Amiryan Street, 70 sq.m., 8/11 floor, high ceilings","Kentron, 2 rm., 70 sq.m., 8/11 floor"
"180,000 ֏ monthly","2 room apartment in a new building on Khachik Muradyan Street, 50 sq.m., 4/8 floor, major renovation","Tsakhkadzor, 2 rm., 50 sq.m., 4/8 floor"
"$3,000 monthly","4 room apartment in a new building, Aram Street, 180 sq.m., 3/16 floor, 3+ bathrooms, high ceilings","Kentron, 4 rm., 180 sq.m., 3/16 floor"
"$3,500 monthly","4 room apartment in a new building, Northern Avenue, 180 sq.m., 4/10 floor, 2 bathrooms","Kentron, 4 rm., 180 sq.m., 4/10 floor"
"550,000 ֏ monthly","4 room apartment in a new building on Adonts Street, 117 sq.m., 2/8 floor, 2 bathrooms","Arabkir, 4 rm., 117 sq.m., 2/8 floor"
"$5,000 monthly","4 room apartment in a new building, Pavstos Buzand Street, 135 sq.m., 9/14 floor, 3+ bathrooms","Kentron, 4 rm., 135 sq.m., 9/14 floor"
"$3,000 monthly","4 room apartment in a new building, Pavstos Buzand Street, 135 sq.m., 8/12 floor, 3+ bathrooms","Kentron, 4 rm., 135 sq.m., 8/12 floor"
"$2,300 monthly","2 room apartment in a new building, Բուզանդի փողոց, 65 sq.m., 5/17 floor, high ceilings","Kentron, 2 rm., 65 sq.m., 5/17 floor"
"500,000 ֏ monthly","3 room apartment in a new building on Arshakunyats Avenue 1st Lane, 76 sq.m., 2/18 floor","Kentron, 3 rm., 76 sq.m., 2/18 floor"
"500,000 ֏ monthly","3 room apartment, Byron Street, 110 sq.m., high ceilings, multiple balconies, designer renovation","Kentron, 3 rm., 110 sq.m., 5/5 floor"
"$4,000 monthly","3 room apartment in a new building, Azatutyan Avenue, 115 sq.m., second to last floor, high ceilings","Arabkir, 3 rm., 115 sq.m., 4/5 floor"
"450,000 ֏ monthly","2 room apartment in a new building, Բնակելի համալիր Բյուրեղ, 55 sq.m., 8/18 floor, high ceilings","Kentron, 2 rm., 55 sq.m., 8/18 floor"
"250,000 ֏ monthly","2 room apartment in a new building on Yeghbayrutyan Street 1st Lane, 55 sq.m., 5/10 floor","Shengavit, 2 rm., 55 sq.m., 5/10 floor"
"300,000 ֏ monthly","2 room apartment in a new building, Աղայան փողոց, 47 sq.m., second to last floor, high ceilings","Kentron, 2 rm., 47 sq.m., 7/8 floor"
"$2,700 monthly","5 room apartment in a new building on Sasna Tsrer Street, 150 sq.m., 5/16 floor, 2 bathrooms","Davtashen, 5 rm., 150 sq.m., 5/16 floor"
"$3,300 monthly","4 room apartment in a new building on Yekmalyan Street, 145 sq.m., 15/18 floor, 2 bathrooms","Kentron, 4 rm., 145 sq.m., 15/18 floor"
"$1,000 monthly","2 room apartment in a new building, in Kentron near the Republic square, 50 sq.m., 5/9 floor","Kentron, 2 rm., 50 sq.m., 5/9 floor"
"250,000 ֏ monthly","2 room apartment in a new building on Griboyedov Street, 50 sq.m., second to last floor","Arabkir, 2 rm., 50 sq.m., 4/5 floor"
"$2,800 monthly","3 room apartment in a new building, Սարյանի փողոց, 120 sq.m., 5/11 floor, 2 bathrooms, high ceilings","Kentron, 3 rm., 120 sq.m., 5/11 floor"
"$1,300 monthly","2 room apartment in a new building on Amiryan Street, 65 sq.m., 12/19 floor, high ceilings","Kentron, 2 rm., 65 sq.m., 12/19 floor"
"$2,300 monthly","2 room apartment in a new building on Northern Avenue, 85 sq.m., 8/10 floor, high ceilings","Kentron, 2 rm., 85 sq.m., 8/10 floor"
"$3,500 monthly","3 room apartment in a new building in the center, 120 sq.m., 9/14 floor, 2 bathrooms, high ceilings","Kentron, 3 rm., 120 sq.m., 9/14 floor"
"350,000 ֏ monthly","3 room apartment on Pushkin Street, 85 sq.m., 7/11 floor, 2 bathrooms, high ceilings","Kentron, 3 rm., 85 sq.m., 7/11 floor"
"280,000 ֏ monthly","3 room apartment on Arshakuniants avenue, 75 sq.m., high ceilings, major renovation, stone building","Kentron, 3 rm., 75 sq.m., 5/5 floor"
"500,000 ֏ monthly","3 room apartment on Tumanyan Street, 100 sq.m., 8/10 floor, 2 bathrooms, high ceilings","Kentron, 3 rm., 100 sq.m., 8/10 floor"
"300,000 ֏ monthly","2 room apartment in a new building on Tsitsernakaberd Highway, 72 sq.m., 9/22 floor, high ceilings","Kentron, 2 rm., 72 sq.m., 9/22 floor"
"$1,500 monthly","2 room apartment in a new building on Aram Street, 70 sq.m., 8/10 floor, high ceilings","Kentron, 2 rm., 70 sq.m., 8/10 floor"
"$3,500 monthly","3 room apartment in a new building on Sayat-Nova Avenue, 130 sq.m., 20/22 floor, 2 bathrooms","Kentron, 3 rm., 130 sq.m., 20/22 floor"
"$1,800 monthly","4 room apartment on Movses Khorenatsi Street 1st Lane, 145 sq.m., 2 bathrooms, high ceilings","Kentron, 4 rm., 145 sq.m., 5/5 floor"
"450,000 ֏ monthly","2 room apartment in a new building, Buzand St, 78 sq.m., 3/5 floor, high ceilings","Kentron, 2 rm., 78 sq.m., 3/5 floor"
"280,000 ֏ monthly","3 room apartment on Paronyan Street, 62 sq.m., second to last floor, high ceilings, major renovation","Kentron, 3 rm., 62 sq.m., 3/4 floor"
"260,000 ֏ monthly","2 room apartment in a new building on Arshakuniats Avenue, 55 sq.m., 3/18 floor, high ceilings","Kentron, 2 rm., 55 sq.m., 3/18 floor"
"230,000 ֏ monthly","1 room apartment in a new building, Արգիշտի փողոց, 40 sq.m., 12/15 floor, high ceilings","Kentron, 1 rm., 40 sq.m., 12/15 floor"
"$3,000 monthly","3 room apartment in a new building on Yekmalyan Street, 140 sq.m., 13/18 floor, 3+ bathrooms","Kentron, 3 rm., 140 sq.m., 13/18 floor"
"350,000 ֏ monthly","2 room apartment in a new building on Argishti Street, 60 sq.m., 7/14 floor, high ceilings","Kentron, 2 rm., 60 sq.m., 7/14 floor"
"270,000 ֏ monthly","2 room apartment on Khorenatsi Street, 50 sq.m., 5/9 floor, high ceilings, designer renovation","Kentron, 2 rm., 50 sq.m., 5/9 floor"
"450,000 ֏ monthly","2 room apartment in a new building, Buzand St, 68 sq.m., 14/20 floor, high ceilings","Kentron, 2 rm., 68 sq.m., 14/20 floor"
"500,000 ֏ monthly","3 room apartment on Tumanyan Street, 98 sq.m., high ceilings, multiple balconies","Kentron, 3 rm., 98 sq.m., 4/4 floor"
"280,000 ֏ monthly","2 room apartment on Yervand Kochar Street, 45 sq.m., 3/9 floor, designer renovation","Kentron, 2 rm., 45 sq.m., 3/9 floor"
"300,000 ֏ monthly","2 room apartment on Koryun Street, 50 sq.m., 2/4 floor, high ceilings, designer renovation","Kentron, 2 rm., 50 sq.m., 2/4 floor"
"$2,300 monthly","3 room apartment in a new building on Northern Avenue, 120 sq.m., 2 bathrooms, high ceilings","Kentron, 3 rm., 120 sq.m., 8/8 floor"
"$1,300 monthly","3 room apartment in a new building on Amiryan Street, 78 sq.m., 17/19 floor, high ceilings","Kentron, 3 rm., 78 sq.m., 17/19 floor"
"$2,200 monthly","3 room apartment in a new building, Northern Avenue, 150 sq.m., 4/12 floor, 2 bathrooms","Kentron, 3 rm., 150 sq.m., 4/12 floor"
"$1,700 monthly","3 room apartment in a new building on Aram Street, 120 sq.m., 13/16 floor, 2 bathrooms","Kentron, 3 rm., 120 sq.m., 13/16 floor"
"300,000 ֏ monthly","3 room apartment on Saryan Street, 70 sq.m., 3/9 floor, high ceilings, designer renovation","Kentron, 3 rm., 70 sq.m., 3/9 floor"
"230,000 ֏ monthly","2 room apartment on Byron Street, 50 sq.m., second to last floor, high ceilings, major renovation","Kentron, 2 rm., 50 sq.m., 4/5 floor"
"300,000 ֏ monthly","2 room apartment, Դերենիկ Դեմիրճյանի փողոց, 55 sq.m., 3/9 floor, designer renovation","Kentron, 2 rm., 55 sq.m., 3/9 floor"
"$1,500 monthly","2 room apartment in a new building, Yeznik Koghbatsi Street, 70 sq.m., 6/17 floor, high ceilings","Kentron, 2 rm., 70 sq.m., 6/17 floor"
$950 monthly,"2 room apartment in a new building on Arshakunyats Avenue, 65 sq.m., 4/18 floor, high ceilings","Kentron, 2 rm., 65 sq.m., 4/18 floor"
"$1,200 monthly","3 room apartment in a new building on Amiryan Street, 70 sq.m., 6/12 floor, high ceilings","Kentron, 3 rm., 70 sq.m., 6/12 floor"
"$3,500 monthly","3 room apartment in a new building on Amiryan Street, 130 sq.m., second to last floor, 2 bathrooms","Kentron, 3 rm., 130 sq.m., 11/12 floor"
"$1,750 monthly","3 room apartment in a new building on Tsitsernakaberd Highway, 120 sq.m., 11/20 floor, 2 bathrooms","Kentron, 3 rm., 120 sq.m., 11/20 floor"
